香港,#genre#
凤凰资讯,http://nn.7x9d.cn/xz/xz_38911cd547/fjgd.php?cid=715&n=fhzxhd_2000
凤凰中文,http://nn.7x9d.cn/xz/xz_38911cd547/fjgd.php?cid=715&n=fhzwhd_2000
凤凰香港,http://kaniptv.com/xz/xz_5527ff75d1/wwkds.php?id=fhhk
TVB无线新闻,http://kaniptv.com/xz/xz_5527ff75d1/wwkds.php?id=tvbwxxw
TVB翡翠,http://kaniptv.com/xz/xz_5527ff75d1/wwkds.php?id=tvbfc
TVB明珠,http://kaniptv.com/xz/xz_5527ff75d1/wwkds.php?id=tvbmzt
TVB千禧经典,http://kaniptv.com/xz/xz_5527ff75d1/wwkds.php?id=tvbjd
TVB星河,http://kaniptv.com/xz/xz_5527ff75d1/wwkds.php?id=tvbxh
TVB亚洲,http://kaniptv.com/xz/xz_5527ff75d1/wwkds.php?id=tvbyz
TVB娱乐新闻,http://kaniptv.com/xz/xz_5527ff75d1/wwkds.php?id=tvbylxw
ViuTV6,http://kaniptv.com/xz/xz_5527ff75d1/wwkds.php?id=viu6
ViuTV,http://kaniptv.com/xz/xz_5527ff75d1/wwkds.php?id=viu1


台湾,#genre#
ARIRANG,http://kaniptv.com/xz/xz_5527ff75d1/wwkds.php?id=arl
DW,http://kaniptv.com/xz/xz_5527ff75d1/wwkds.php?id=dw
TVBS,http://kaniptv.com/xz/xz_5527ff75d1/wwkds.php?id=tvbs
TVBS新闻,http://kaniptv.com/xz/xz_5527ff75d1/wwkds.php?id=tvbsxw
东森新闻,http://kaniptv.com/xz/xz_5527ff75d1/wwkds.php?id=dsxw
东森财经新闻,http://kaniptv.com/xz/xz_5527ff75d1/wwkds.php?id=dscjxw
非凡新闻,http://kaniptv.com/xz/xz_5527ff75d1/wwkds.php?id=ffxw
寰宇新闻,http://kaniptv.com/xz/xz_5527ff75d1/wwkds.php?id=hyxw
民视新闻,http://kaniptv.com/xz/xz_5527ff75d1/wwkds.php?id=msxw
年代新闻,http://kaniptv.com/xz/xz_5527ff75d1/wwkds.php?id=ndxw
台视新闻,http://kaniptv.com/xz/xz_5527ff75d1/wwkds.php?id=tsxw
中视新闻,http://kaniptv.com/xz/xz_5527ff75d1/wwkds.php?id=zsxw
中天新闻,http://kaniptv.com/xz/xz_5527ff75d1/wwkds.php?id=ztxw
AXN,http://kaniptv.com/xz/xz_5527ff75d1/wwkds.php?id=axn
DAZN1,http://kaniptv.com/xz/xz_5527ff75d1/wwkds.php?id=dazn1
ELTA综合,http://kaniptv.com/xz/xz_5527ff75d1/wwkds.php?id=elta
EYE TV旅游,http://kaniptv.com/xz/xz_5527ff75d1/wwkds.php?id=eyely
EYE TV戏剧,http://kaniptv.com/xz/xz_5527ff75d1/wwkds.php?id=eyexj
HBO HD,http://kaniptv.com/xz/xz_5527ff75d1/wwkds.php?id=hbohd
HBO 原创,http://kaniptv.com/xz/xz_5527ff75d1/wwkds.php?id=hbo
MTV Live,http://kaniptv.com/xz/xz_5527ff75d1/wwkds.php?id=mtv
TLC,http://kaniptv.com/xz/xz_5527ff75d1/wwkds.php?id=tlc
TVBS欢乐,http://kaniptv.com/xz/xz_5527ff75d1/wwkds.php?id=tvbshl
